Churchill	RegularK	BAC_PLT	2	29	5	Edge		2	2069	189.681	1751	182.167		5	7742	634.299	5599	599.166	739	101	5	Edge		1	2490	200.309	2040	175.338		6	16068	1201.465	12415	1184.274	858	176	8	Edge		2	1604	169.44	1375	150.368		7	14918	951.804	11935	1003.585	656	140	20	Edge		1	2786	727.208	2355	751.283		6	15506	905.171	11428	905.662	646	57	9	Edge		2	1263	556.102	982	773.501		4	11301	772.26	9401	796.274	524	124	4	Edge		2	1689	443.748	1272	499.677		7	23646	915.809	18441	1098.064	847	169	1	Edge		2	1664	494.834	1407	451.285		7	18900	729.644	16781	814.009	2464	214	22	Edge		2	2366	537.254	2023	556.102		9	22618	930.734	19757	971.39	2499	63	15	Middle		2	2604	449.096	2278	624.102		10	26703	1179.211	19258	1309.93	2031	51	3	Edge		2	1742	608.846	1536	623.402		10	19665	1004.443	14964	1034.009	3175
Churchill	RegularK	PLT	4	31	7	Middle		2	1336	145.439	1048	134.853		5	5529	475.044	2986	443.571	284	186	18	Middle		2	4249	262.593	3485	244.35		8	16038	971.702	11565	1056.341	89.1	22	22	Edge		2	1686	164.752	1452	155.095		7	14305	885.561	11462	809.418	1620	11	11	Middle		2	1334	521.839	1140	537.254		7	11493	880.791	6186	987.531	589	136	16	Edge		1	1466	596.794	1256	622.607		3	2752	570.328	1713	597.676	240	238	22	Edge		1	3313	771.96	2854	686.565		8	14486	744.355	10208	881.498	1681	199	7	Middle		2	2870	523.538	2570	693.702		9	19575	929.656	14897	1013.194	442	165	21	Edge		1	1695	280.368	963	276.386		7	15044	717.292	12924	736.395	661	120	24	Edge		2	1798	492.415	1635	571.45		7	18148	757.479	15542	799.733	1046	69	21	Edge		2	1214	449.36	981	518.025		7	18666	904.823	14401	994.747	2998
Churchill	SaltK	PLT	18	32	8	Edge		2	1782	166.752	1491	157.823		4	3373	278.149	2466	270.008	261	173	5	Edge		2	1013	130.125	758	115.054		2	1734	185.238	1449	178.995	156	138	18	Middle		2	1176	161.238	899	124.61		2	1590	169.924	1298	162.752	66	34	10	Middle		1	1127	651.164	989	527.956		3	4085	600.099	3293	678.584	557	74	2	Edge		2	2352	643.104	1999	624.322		5	4654	629.157	3738	916.876	135	157	13	Edge		2	1213	413.468	1095	588.305		3	3585	598.689	2577	662.772	627	117	21	Edge		1	1660	474.181	1374	468.334		4	4641	531.223	4109	586.162	2380	72	24	Edge		2	1363	433.745	1212	669.192		5	6408	577.099	5908	705.518	640	33	9	Edge		2	1795	441.632	1476	523.094		5	5676	640.178	4114	667.206	480	34	10	Middle		2	1654	488.874	1392	650.114		5	5674	683.344	4465	813.001	1223
Churchill	RegularK	PLT	3	34	10	Middle		2	3642	252.108	3091	243.522		6	6408	597.168	2406	360.174	80.3	204	12	Edge		1	1032	120.811	819	109.983		3	7172	498.56	5875	484.542	645	13	13	Edge		2	1573	152.267	1320	141.196		7	17958	1072.371	12142	1343.454	2845	5	5	Edge		2	3503	499.558	3135	575.259		7	22009	896.57	19092	1046.341	723	215	23	Edge		2	1153	481.819	955	673.181		8	19763	975.69	14188	1007.131	1188	25	1	Edge		2	1442	491.72	1212	559.292		7	11038	828.25	7932	984.424	901	52	4	Edge		2	1252	446.623	1029	444.663		6	13829	800.94	11776	897.522	471	19	19	Middle		3	5901	552.639	5326	697.943		15	33619	1213.187	27710	1085.447	1069	182	14	Middle		2	2132	684.719	1799	619.877		9	23312	1228.755	15980	1222.51	459	92	20	Edge		2	1774	725.324	1468	594.457		6	18095	899.859	14885	854.656	501
Churchill	RegularK	PLT	1	35	11	Middle								3	694	193.622	6	8.485	69.3	38	14	Middle		2	1336	142.125	1058	136.953		6	11703	797.678	8513	1089.408	534	55	7	Middle		1	1356	138.953	1169	144.024		7	20667	1378.078	11746	1388.848	666	49	1	Edge		2	2189	625.61	1905	508.938		6	12617	793.478	10114	829.488	111	211	19	Middle		2	1625	603.186	1425	622.035		9	17472	894.532	10750	1057.138	1099	81	9	Edge		2	1897	432.336	1690	529.582		7	23369	1101.841	13880	1154.671	1202	132	12	Edge		3	2094	593.861	1842	639.021		7	15591	821.081	13033	894.597	744	175	7	Middle		2	1393	525.628	1258	511.734		7	11530	794.727	9350	839.158	972	87	15	Middle		2	2024	511.706	1833	554.755		8	17585	898.107	11960	987.095	855	148	4	Edge		2	1422	549.344	1192	560.233		7	24290	888.785	20777	1058.896	1646
Churchill	SaltK	BAC	7	36	12	Edge													355	71	23	Edge													461	37	13	Edge													447	81	9	Edge													290	188	20	Edge													142	101	5	Edge													623	43	19	Middle													383	27	3	Edge													340	229	13	Edge													309	166	22	Edge													1651
Churchill	SaltK	BAC_PLT	19	37	13	Edge		2	1610	169.095	1237	164.752		3	2654	247.907	1735	278.919	479	87	15	Middle		2	1525	165.681	1128	177.722		3	4084	351.849	3189	381.688	285	35	11	Middle		2	1458	157.439	1268	150.853		3	3314	293.22	2723	326.09	651	78	6	Middle		2	1388	678.584	1150	593.798		3	5220	793.478	4410	606.873	382	204	12	Edge		1	1307	624.322	1074	642.133		4	4178	539.975	3293	661.595	343	231	15	Middle		2	1463	598.393	1297	579.367		4	4666	733.692	4190	816.483	486	186	18	Middle		2	1572	572.078	1225	550.454		3	3034	600.109	2459	708.275	1958	108	12	Edge		2	1630	311.089	1437	311.661		3	4684	641.285	4198	550.834	1018	37	13	Edge		2	1304	421.139	996	509.604		4	3441	722.709	2024	656.86	567	179	11	Middle		2	1950	591.949	1656	619.816		7	6776	676.57	5780	770.125	1563
Churchill	RegularK	PLT	16	40	16	Edge		2	3631	252.593	3089	249.422		7	8359	662.826	4748	587.755	99	22	22	Edge		2	2633	197.338	2265	185.924		8	16294	1072.212	13297	1005.97	1159	173	5	Edge		2	1338	143.439	1141	135.196		4	9388	556.358	7551	601.796	488	214	22	Edge		2	1939	474.26	1686	556.421		7	16806	820.039	13964	857.681	315	10	10	Middle		2	1140	678.715	714	425.425		4	3748	772.829	2317	926.264	272	126	6	Middle		3	2080	441.131	1567	545.352		7	19119	1022.569	15567	893.087	1240	17	17	Edge		2	1763	450.415	1505	617.001		12	28551	1045.528	23745	933.667	1299	122	2	Edge		2	1532	499.558	1319	509.113		7	19337	887.253	16086	967.039	1338	129	9	Edge		2	1424	526.305	1187	571.413		3	2707	432.511	1695	495.646	168	16	16	Edge		3	2489	603.711	2126	810.387		8	11720	756.596	9984	876.479	835
Churchill	RegularK	BAC_PLT	14	41	17	Edge		2	2006	174.995	1716	165.581		7	17305	1068.03	13857	1068.94	1521	213	21	Edge		2	1889	167.196	1498	152.368		5	8220	485.93	7010	487.832	1767	152	8	Edge		2	739	134.61	557	92.912		6	7551	565.329	5157	549.27	457	40	16	Edge		2	2205	547.287	1964	707.644		8	18404	1018.225	13926	1159.727	785	171	3	Edge		2	1941	584.944	1599	538.246		7	15464	856.17	8704	838.243	690	87	15	Middle		2	1797	591.273	1634	519.995		8	18075	1029.527	10630	972.721	1234	54	6	Middle		3	3499	524.5	3160	650.897		10	34443	995.087	29688	1074.345	1417	201	9	Edge		2	1493	461.862	1170	453.175		6	17636	778.005	15867	917.811	1065	123	3	Edge		2	1319	391.874	1187	484.712		8	18793	911.385	15212	944.386	1167	174	6	Middle		1	1403	560.38	1168	612.026		8	19952	984.618	15029	1060.3	3221
Churchill	RegularK	PLT	6	46	22	Edge		2	1281	142.024	1040	132.024		2	2285	257.764	1022	169.58	59.4	140	20	Edge		2	1730	173.581	1481	163.338		3	7196	498.801	5447	646.221	134	120	24	Edge													884	165	21	Edge		2	1070	503.121	821	471.427		5	8444	852.936	7140	698.58	861	145	1	Edge		2	1847	511.734	1551	612.937		6	12954	887.611	9973	959.909	1074	156	12	Edge		2	1452	513.298	1228	491.214		5	13285	882.757	10240	901.983	770	5	5	Edge		2	2124	414.969	1897	487.758		12	38325	1191.504	34297	1173.986	2407	44	20	Edge		2	1875	453.175	1798	377.227		7	21222	886.237	18706	911.329	1323	232	16	Edge		2	1533	320.975	1269	364.545		10	23594	1079.212	18975	1082.371	1049	158	14	Middle		2	1458	603.341	1231	808.095		7	17253	997.265	14125	1208.595	1386
